Train_ID,Date,Cleaning_Type,Duration_Minutes,Cost,Staff_Assigned,Priority,Completion_Status,Quality_Score,Location,Shift,Notes
CR101,2024-01-19,LED_Light_Clean,55,1406,6,Low,Completed,87.14237220674212,Terminal_Station,Night,LED Light Clean performed on CR101
CR101,2024-01-19,Graffiti_Removal,75,1511,2,Medium,In_Progress,90.51224843134757,Depot_B,Evening,Graffiti Removal performed on CR101
CR101,2024-01-20,LED_Light_Clean,54,512,5,Medium,Completed,88.36258857871702,Depot_B,Night,LED Light Clean performed on CR101
CR101,2024-01-20,Exterior_Wash,66,542,5,High,In_Progress,92.39641478755226,Terminal_Station,Evening,Exterior Wash performed on CR101
CR101,2024-01-20,Interior_Deep_Clean,178,1179,4,Low,Completed,91.06052993147996,Depot_A,Night,Interior Deep Clean performed on CR101
CR101,2024-01-23,Disinfection_Spray,21,1942,3,Low,Completed,95.13392404262214,Depot_B,Night,Disinfection Spray performed on CR101
CR101,2024-01-24,LED_Light_Clean,55,577,5,High,Completed,91.57099669852731,Depot_A,Morning,LED Light Clean performed on CR101
CR101,2024-01-25,Driver_Cabin_Detail,36,1165,6,Low,Completed,91.7706709657181,Depot_A,Night,Driver Cabin Detail performed on CR101
CR101,2024-01-26,Floor_Deep_Clean,67,1913,2,High,In_Progress,92.43519774701392,Terminal_Station,Night,Floor Deep Clean performed on CR101
CR101,2024-01-27,HVAC_Filter,72,874,6,Low,Completed,87.05176356955414,Depot_B,Morning,HVAC Filter performed on CR101
CR101,2024-01-27,Interior_Deep_Clean,124,1789,3,Low,Scheduled,92.09568473551452,Depot_A,Night,Interior Deep Clean performed on CR101
CR101,2024-01-28,Exterior_Wash,63,853,4,Low,In_Progress,93.0950074534718,Terminal_Station,Night,Exterior Wash performed on CR101
CR101,2024-01-29,LED_Light_Clean,46,556,5,High,Completed,91.04771514135673,Terminal_Station,Evening,LED Light Clean performed on CR101
CR101,2024-01-29,Seat_Sanitization,94,1078,4,Low,In_Progress,85.78694785990899,Terminal_Station,Night,Seat Sanitization performed on CR101
CR101,2024-01-30,Disinfection_Spray,22,1303,2,High,Completed,87.7039397850128,Terminal_Station,Night,Disinfection Spray performed on CR101
CR101,2024-01-30,HVAC_Filter,65,1509,3,Medium,In_Progress,94.65362738336907,Depot_B,Evening,HVAC Filter performed on CR101
CR101,2024-01-30,Floor_Deep_Clean,90,1698,4,Low,Scheduled,87.01034959527105,Depot_B,Night,Floor Deep Clean performed on CR101
CR101,2024-02-04,LED_Light_Clean,46,619,3,Medium,In_Progress,97.23623684915488,Depot_A,Night,LED Light Clean performed on CR101
CR101,2024-02-04,Window_Polish,45,1629,4,High,Scheduled,85.09538679289035,Depot_B,Morning,Window Polish performed on CR101
CR101,2024-02-05,Floor_Deep_Clean,118,600,6,Medium,In_Progress,87.95380236231655,Depot_A,Evening,Floor Deep Clean performed on CR101
CR101,2024-02-05,Seat_Sanitization,109,1079,5,High,Completed,88.38718791040577,Depot_A,Night,Seat Sanitization performed on CR101
CR101,2024-02-05,Interior_Deep_Clean,156,1285,4,Low,Scheduled,95.88733463724861,Terminal_Station,Morning,Interior Deep Clean performed on CR101
CR101,2024-02-07,Window_Polish,52,558,3,High,Scheduled,93.49892502686924,Depot_A,Night,Window Polish performed on CR101
CR101,2024-02-07,HVAC_Filter,82,1533,3,Low,Completed,91.50701767342989,Terminal_Station,Night,HVAC Filter performed on CR101
CR101,2024-02-08,Window_Polish,38,1738,5,High,In_Progress,97.74296750595747,Depot_B,Morning,Window Polish performed on CR101
CR101,2024-02-08,Interior_Deep_Clean,125,1431,4,Low,In_Progress,88.28642390651221,Terminal_Station,Morning,Interior Deep Clean performed on CR101
CR101,2024-02-08,Seat_Sanitization,109,1981,5,Low,Completed,92.77865894989785,Depot_B,Evening,Seat Sanitization performed on CR101
CR101,2024-02-09,Floor_Deep_Clean,107,1876,4,Low,Completed,92.88828032839817,Depot_A,Night,Floor Deep Clean performed on CR101
CR101,2024-02-09,Interior_Deep_Clean,142,830,2,Low,In_Progress,88.90976394653892,Depot_A,Night,Interior Deep Clean performed on CR101
CR101,2024-02-17,Exterior_Wash,53,830,3,Medium,Completed,85.92664812427716,Depot_A,Night,Exterior Wash performed on CR101
CR101,2024-02-19,Interior_Deep_Clean,151,714,4,High,Scheduled,88.6246999792327,Depot_A,Night,Interior Deep Clean performed on CR101
CR101,2024-02-19,Floor_Deep_Clean,81,1099,5,High,Scheduled,85.76603311679544,Terminal_Station,Morning,Floor Deep Clean performed on CR101
CR101,2024-02-19,LED_Light_Clean,48,828,3,Low,In_Progress,86.55574895410275,Terminal_Station,Night,LED Light Clean performed on CR101
CR101,2024-02-21,Disinfection_Spray,20,1449,2,Medium,Scheduled,95.48852658537396,Terminal_Station,Night,Disinfection Spray performed on CR101
CR101,2024-02-21,Floor_Deep_Clean,61,1890,4,Low,Scheduled,92.20737594501468,Depot_B,Evening,Floor Deep Clean performed on CR101
CR101,2024-02-23,Floor_Deep_Clean,107,1768,4,Medium,Scheduled,93.67998484928081,Depot_B,Night,Floor Deep Clean performed on CR101
CR101,2024-02-23,HVAC_Filter,85,1787,5,High,In_Progress,86.51359109699398,Depot_B,Night,HVAC Filter performed on CR101
CR101,2024-02-24,Exterior_Wash,60,896,4,High,Completed,86.51237986435594,Depot_B,Night,Exterior Wash performed on CR101
CR101,2024-02-24,Floor_Deep_Clean,113,1388,5,Low,Completed,97.18987093427904,Depot_B,Evening,Floor Deep Clean performed on CR101
CR101,2024-02-24,Seat_Sanitization,120,1101,4,Medium,In_Progress,89.26041905000741,Depot_B,Evening,Seat Sanitization performed on CR101
CR101,2024-02-25,Interior_Deep_Clean,125,1854,2,Medium,Completed,92.05706973274557,Terminal_Station,Evening,Interior Deep Clean performed on CR101
CR101,2024-02-25,Exterior_Wash,58,1180,5,High,In_Progress,85.14492515695272,Depot_B,Morning,Exterior Wash performed on CR101
CR101,2024-02-25,HVAC_Filter,79,586,3,High,Completed,85.24584949679186,Terminal_Station,Evening,HVAC Filter performed on CR101
CR101,2024-02-26,Exterior_Wash,52,854,6,Low,Scheduled,93.26719388929843,Depot_B,Morning,Exterior Wash performed on CR101
CR101,2024-02-28,Window_Polish,38,1966,4,Medium,In_Progress,90.93566446303754,Depot_A,Evening,Window Polish performed on CR101
CR101,2024-02-28,Graffiti_Removal,160,1548,2,Low,Scheduled,93.44846786713964,Depot_B,Night,Graffiti Removal performed on CR101
CR101,2024-03-01,Disinfection_Spray,33,1415,6,Medium,Completed,91.59575932878415,Depot_A,Evening,Disinfection Spray performed on CR101
CR101,2024-03-01,Driver_Cabin_Detail,38,547,2,High,Completed,88.85010254254976,Depot_B,Evening,Driver Cabin Detail performed on CR101
CR101,2024-03-03,Graffiti_Removal,158,1609,5,High,In_Progress,87.51968041104777,Terminal_Station,Morning,Graffiti Removal performed on CR101
CR101,2024-03-03,Window_Polish,56,1442,5,Low,In_Progress,85.20249073308939,Terminal_Station,Evening,Window Polish performed on CR101
CR101,2024-03-03,Disinfection_Spray,38,602,3,Medium,Completed,94.8327956114389,Depot_A,Evening,Disinfection Spray performed on CR101
CR101,2024-03-05,Floor_Deep_Clean,93,1392,2,Low,Completed,97.24425312900414,Depot_A,Night,Floor Deep Clean performed on CR101
CR101,2024-03-05,LED_Light_Clean,53,938,6,High,Scheduled,88.06699346159562,Depot_A,Morning,LED Light Clean performed on CR101
CR101,2024-03-06,Disinfection_Spray,39,1011,2,Low,In_Progress,97.37546049507401,Depot_A,Evening,Disinfection Spray performed on CR101
CR101,2024-03-06,Exterior_Wash,69,993,4,Low,Completed,94.50460677553221,Depot_B,Evening,Exterior Wash performed on CR101
CR101,2024-03-07,Floor_Deep_Clean,71,1308,6,Low,In_Progress,97.28481996469958,Depot_A,Night,Floor Deep Clean performed on CR101
CR101,2024-03-08,Interior_Deep_Clean,174,1699,2,High,Completed,87.07092089869924,Depot_A,Evening,Interior Deep Clean performed on CR101
CR101,2024-03-08,Graffiti_Removal,50,1311,3,Low,In_Progress,89.56284222489079,Depot_A,Evening,Graffiti Removal performed on CR101
CR101,2024-03-09,Seat_Sanitization,100,1970,5,Medium,In_Progress,95.0680314033027,Terminal_Station,Morning,Seat Sanitization performed on CR101
CR101,2024-03-09,Driver_Cabin_Detail,32,1933,2,Medium,In_Progress,88.08599297961942,Terminal_Station,Morning,Driver Cabin Detail performed on CR101
CR101,2024-03-11,Interior_Deep_Clean,171,1291,4,Medium,In_Progress,90.40429856342432,Terminal_Station,Morning,Interior Deep Clean performed on CR101
CR101,2024-03-12,Interior_Deep_Clean,132,1494,2,High,In_Progress,88.4841844657036,Depot_B,Night,Interior Deep Clean performed on CR101
CR101,2024-03-12,LED_Light_Clean,58,1805,5,Low,In_Progress,89.04374551406349,Depot_A,Morning,LED Light Clean performed on CR101
CR101,2024-03-12,Driver_Cabin_Detail,45,742,2,Low,Scheduled,86.24826006860253,Terminal_Station,Evening,Driver Cabin Detail performed on CR101
CR101,2024-03-13,Window_Polish,35,1582,3,High,In_Progress,86.12103825911645,Depot_B,Evening,Window Polish performed on CR101
CR101,2024-03-13,Driver_Cabin_Detail,34,1627,2,High,In_Progress,94.56017652888346,Depot_A,Evening,Driver Cabin Detail performed on CR101
CR101,2024-03-14,Interior_Deep_Clean,124,837,5,Low,Scheduled,88.84647057673772,Terminal_Station,Morning,Interior Deep Clean performed on CR101
CR101,2024-03-15,HVAC_Filter,60,1746,5,Low,Completed,91.07934727507026,Depot_B,Night,HVAC Filter performed on CR101
CR101,2024-03-15,Window_Polish,57,1656,4,High,In_Progress,87.26242862631322,Depot_B,Evening,Window Polish performed on CR101
CR101,2024-03-17,Interior_Deep_Clean,167,1573,5,High,In_Progress,91.92221731719108,Depot_B,Morning,Interior Deep Clean performed on CR101
CR101,2024-03-18,LED_Light_Clean,51,1937,2,Medium,Completed,95.8187471083669,Depot_A,Evening,LED Light Clean performed on CR101
CR101,2024-03-18,HVAC_Filter,70,645,3,Medium,In_Progress,86.28233971646739,Depot_B,Morning,HVAC Filter performed on CR101
CR101,2024-03-19,Driver_Cabin_Detail,39,1783,6,High,Scheduled,85.73322723558633,Depot_B,Evening,Driver Cabin Detail performed on CR101
CR101,2024-03-19,Exterior_Wash,59,1285,5,Medium,Completed,93.56053782264725,Depot_B,Evening,Exterior Wash performed on CR101
CR101,2024-03-23,LED_Light_Clean,46,530,4,Medium,Scheduled,86.90968114523467,Depot_A,Evening,LED Light Clean performed on CR101
CR101,2024-03-23,HVAC_Filter,76,1611,5,High,Scheduled,89.07117656415254,Depot_B,Morning,HVAC Filter performed on CR101
CR101,2024-03-23,Disinfection_Spray,35,956,5,High,Scheduled,97.10735950195128,Terminal_Station,Night,Disinfection Spray performed on CR101
CR101,2024-03-25,HVAC_Filter,72,962,3,High,Scheduled,90.35429314378379,Depot_A,Night,HVAC Filter performed on CR101
CR101,2024-03-25,Seat_Sanitization,118,520,2,Medium,Completed,89.02246482014411,Terminal_Station,Night,Seat Sanitization performed on CR101
CR101,2024-03-25,Window_Polish,60,708,6,High,In_Progress,96.16036690282206,Depot_B,Evening,Window Polish performed on CR101
CR101,2024-03-26,LED_Light_Clean,52,1833,5,Low,Scheduled,92.84459209040376,Depot_B,Morning,LED Light Clean performed on CR101
CR101,2024-03-26,Floor_Deep_Clean,104,627,4,High,Completed,97.8388176954489,Depot_A,Evening,Floor Deep Clean performed on CR101
CR101,2024-03-26,Disinfection_Spray,36,1459,2,Low,Completed,95.8622965965395,Terminal_Station,Morning,Disinfection Spray performed on CR101
CR101,2024-03-27,Interior_Deep_Clean,160,1881,5,Medium,Scheduled,92.0156698565628,Depot_B,Morning,Interior Deep Clean performed on CR101
CR101,2024-03-28,Window_Polish,57,1224,3,High,Completed,95.31611038431737,Depot_B,Morning,Window Polish performed on CR101
CR101,2024-03-28,Interior_Deep_Clean,159,1589,6,High,In_Progress,89.24483012767399,Depot_B,Evening,Interior Deep Clean performed on CR101
CR101,2024-03-29,Exterior_Wash,65,1390,5,High,Scheduled,88.34746615703077,Depot_A,Evening,Exterior Wash performed on CR101
CR101,2024-03-31,Interior_Deep_Clean,124,1445,3,Low,In_Progress,87.61340917685334,Terminal_Station,Morning,Interior Deep Clean performed on CR101
CR101,2024-04-02,Window_Polish,57,788,2,Low,Completed,93.45273074326292,Depot_A,Morning,Window Polish performed on CR101
CR101,2024-04-02,Interior_Deep_Clean,166,1917,5,Low,Completed,97.39912287221483,Terminal_Station,Evening,Interior Deep Clean performed on CR101
CR101,2024-04-03,LED_Light_Clean,56,1491,2,Medium,Completed,89.83550968965037,Depot_B,Evening,LED Light Clean performed on CR101
CR101,2024-04-03,HVAC_Filter,66,1875,2,Medium,Completed,97.45723468026164,Terminal_Station,Evening,HVAC Filter performed on CR101
CR101,2024-04-05,Interior_Deep_Clean,163,1334,3,High,Completed,87.86526168204844,Terminal_Station,Morning,Interior Deep Clean performed on CR101
CR101,2024-04-05,Exterior_Wash,57,791,3,Medium,Scheduled,96.41188552144557,Depot_B,Night,Exterior Wash performed on CR101
CR101,2024-04-08,Disinfection_Spray,30,1722,4,Low,In_Progress,85.81402200087277,Depot_B,Night,Disinfection Spray performed on CR101
CR101,2024-04-08,HVAC_Filter,65,983,2,Low,Completed,96.28414108954782,Terminal_Station,Night,HVAC Filter performed on CR101
CR101,2024-04-08,Window_Polish,44,587,3,Low,Scheduled,92.00032600963951,Depot_B,Morning,Window Polish performed on CR101
CR101,2024-04-11,Window_Polish,43,860,4,Medium,Completed,90.81430538673975,Depot_B,Morning,Window Polish performed on CR101
CR101,2024-04-11,Disinfection_Spray,36,746,5,Medium,Completed,90.9187343258041,Depot_B,Evening,Disinfection Spray performed on CR101
CR101,2024-04-11,HVAC_Filter,70,702,4,Medium,Completed,92.74117416746236,Depot_B,Evening,HVAC Filter performed on CR101
CR101,2024-04-12,Graffiti_Removal,102,1744,6,Low,Scheduled,89.36445939473624,Terminal_Station,Morning,Graffiti Removal performed on CR101
CR101,2024-04-12,Window_Polish,34,1842,5,Medium,In_Progress,88.81100458850162,Depot_A,Evening,Window Polish performed on CR101
CR101,2024-04-15,LED_Light_Clean,57,1066,4,Low,In_Progress,90.92665424801791,Depot_B,Night,LED Light Clean performed on CR101
CR101,2024-04-15,Exterior_Wash,58,1110,3,Medium,Scheduled,91.8987000502166,Depot_B,Morning,Exterior Wash performed on CR101
CR101,2024-04-15,Seat_Sanitization,90,557,3,Low,Scheduled,85.16837103540946,Depot_A,Night,Seat Sanitization performed on CR101
CR101,2024-04-19,Interior_Deep_Clean,171,1154,5,Medium,Completed,86.98977094638639,Terminal_Station,Night,Interior Deep Clean performed on CR101
CR101,2024-04-20,Seat_Sanitization,92,522,6,High,Completed,96.4539003325019,Terminal_Station,Evening,Seat Sanitization performed on CR101
CR101,2024-04-20,Graffiti_Removal,126,1776,3,High,In_Progress,96.00259604769631,Depot_A,Morning,Graffiti Removal performed on CR101
CR101,2024-04-20,Window_Polish,60,570,3,High,Scheduled,95.36593072039395,Depot_A,Morning,Window Polish performed on CR101
CR101,2024-04-21,Interior_Deep_Clean,174,1768,5,High,Completed,96.27684605734302,Depot_B,Morning,Interior Deep Clean performed on CR101
CR101,2024-04-21,Graffiti_Removal,45,1285,3,Medium,Completed,90.65207749470555,Depot_B,Evening,Graffiti Removal performed on CR101
CR101,2024-04-22,Floor_Deep_Clean,85,1030,6,Low,Completed,91.50949933313356,Terminal_Station,Evening,Floor Deep Clean performed on CR101
CR101,2024-04-22,Seat_Sanitization,107,1209,5,High,Completed,93.19594935550433,Depot_A,Night,Seat Sanitization performed on CR101
CR101,2024-04-22,Window_Polish,45,1903,5,Low,Completed,93.08698328739635,Depot_A,Morning,Window Polish performed on CR101
CR101,2024-04-23,Graffiti_Removal,164,1410,5,High,Completed,86.58913581103545,Terminal_Station,Morning,Graffiti Removal performed on CR101
CR101,2024-04-23,HVAC_Filter,69,1955,6,High,Completed,86.17546898311149,Depot_A,Morning,HVAC Filter performed on CR101
CR101,2024-04-24,Graffiti_Removal,171,1382,5,High,In_Progress,88.86141265194964,Terminal_Station,Night,Graffiti Removal performed on CR101
CR101,2024-04-24,Interior_Deep_Clean,166,1489,5,High,In_Progress,89.48664475104617,Depot_A,Evening,Interior Deep Clean performed on CR101
CR101,2024-04-24,LED_Light_Clean,48,729,2,High,In_Progress,93.24040150784943,Depot_A,Morning,LED Light Clean performed on CR101
CR101,2024-04-26,Exterior_Wash,46,1960,5,Medium,Scheduled,93.17014078983578,Depot_A,Morning,Exterior Wash performed on CR101
CR101,2024-04-26,Interior_Deep_Clean,167,1871,2,Low,Completed,87.72899815508895,Terminal_Station,Night,Interior Deep Clean performed on CR101
CR101,2024-04-26,HVAC_Filter,65,1455,4,High,Completed,95.46426809524368,Depot_A,Night,HVAC Filter performed on CR101
CR101,2024-04-27,LED_Light_Clean,52,1500,6,Medium,Scheduled,89.03758542143719,Depot_A,Night,LED Light Clean performed on CR101
CR101,2024-04-28,Floor_Deep_Clean,80,1273,5,High,In_Progress,93.62383172151387,Terminal_Station,Evening,Floor Deep Clean performed on CR101
CR101,2024-04-28,Interior_Deep_Clean,137,939,3,Medium,Completed,93.30408678342283,Depot_B,Morning,Interior Deep Clean performed on CR101
CR101,2024-04-28,Exterior_Wash,69,535,3,High,In_Progress,96.08392201949337,Depot_B,Morning,Exterior Wash performed on CR101
CR101,2024-04-29,Floor_Deep_Clean,118,1844,6,Low,In_Progress,89.39085043823879,Terminal_Station,Night,Floor Deep Clean performed on CR101
CR101,2024-04-29,Exterior_Wash,65,1659,2,High,Completed,97.01203294006895,Depot_A,Morning,Exterior Wash performed on CR101
CR101,2024-04-29,Seat_Sanitization,99,1221,3,Medium,In_Progress,93.69972769741712,Depot_A,Night,Seat Sanitization performed on CR101
CR101,2024-05-01,Graffiti_Removal,85,585,5,High,Scheduled,94.89005296187887,Depot_B,Morning,Graffiti Removal performed on CR101
CR101,2024-05-01,HVAC_Filter,78,852,3,Medium,Completed,95.05942558592747,Terminal_Station,Evening,HVAC Filter performed on CR101
CR101,2024-05-01,Interior_Deep_Clean,167,1325,4,Medium,Scheduled,90.5418367574976,Terminal_Station,Night,Interior Deep Clean performed on CR101
CR101,2024-05-02,LED_Light_Clean,52,667,6,Medium,In_Progress,92.63754947126901,Depot_A,Night,LED Light Clean performed on CR101
CR101,2024-05-02,Disinfection_Spray,33,1330,2,High,In_Progress,89.90758674902983,Depot_B,Evening,Disinfection Spray performed on CR101
CR101,2024-05-03,Driver_Cabin_Detail,40,1385,5,Medium,Scheduled,90.51165845366434,Depot_A,Evening,Driver Cabin Detail performed on CR101
CR101,2024-05-03,Exterior_Wash,60,760,6,High,Scheduled,95.37657778453762,Depot_B,Evening,Exterior Wash performed on CR101
CR101,2024-05-03,Seat_Sanitization,103,688,2,Low,In_Progress,89.62154108060757,Depot_B,Night,Seat Sanitization performed on CR101
CR101,2024-05-04,Graffiti_Removal,101,581,5,High,In_Progress,89.7894811414867,Terminal_Station,Night,Graffiti Removal performed on CR101
CR101,2024-05-04,Window_Polish,32,1106,6,High,In_Progress,96.52586974278279,Depot_B,Night,Window Polish performed on CR101
CR101,2024-05-04,Exterior_Wash,70,646,5,High,In_Progress,93.21423861010437,Depot_B,Night,Exterior Wash performed on CR101
CR101,2024-05-05,Window_Polish,40,929,6,Low,Scheduled,96.74074319837861,Depot_B,Evening,Window Polish performed on CR101
CR101,2024-05-07,Seat_Sanitization,110,664,4,High,In_Progress,86.0561768858506,Depot_B,Night,Seat Sanitization performed on CR101
CR101,2024-05-07,Exterior_Wash,68,1444,5,Medium,Completed,94.18807113218908,Depot_B,Night,Exterior Wash performed on CR101
CR101,2024-05-08,Driver_Cabin_Detail,33,1285,5,High,Scheduled,90.30907252541392,Terminal_Station,Morning,Driver Cabin Detail performed on CR101
CR101,2024-05-08,HVAC_Filter,89,1506,5,High,Scheduled,91.44461669931191,Depot_A,Night,HVAC Filter performed on CR101
CR101,2024-05-09,Driver_Cabin_Detail,45,915,6,Medium,In_Progress,87.20147645957655,Depot_A,Night,Driver Cabin Detail performed on CR101
CR101,2024-05-09,Disinfection_Spray,34,1284,6,Low,Scheduled,91.8577398376767,Depot_B,Evening,Disinfection Spray performed on CR101
CR101,2024-05-09,LED_Light_Clean,57,1642,3,Medium,Completed,95.78315976025354,Depot_A,Morning,LED Light Clean performed on CR101
CR101,2024-05-10,Interior_Deep_Clean,156,645,3,Low,Scheduled,85.5316271688912,Depot_A,Morning,Interior Deep Clean performed on CR101
CR101,2024-05-10,LED_Light_Clean,51,1412,4,High,In_Progress,86.58020110369375,Terminal_Station,Night,LED Light Clean performed on CR101
CR101,2024-05-12,Floor_Deep_Clean,99,1057,5,High,Completed,90.486626520975,Depot_A,Night,Floor Deep Clean performed on CR101
CR101,2024-05-12,Window_Polish,47,1197,2,Medium,In_Progress,92.38070569340877,Terminal_Station,Night,Window Polish performed on CR101
CR101,2024-05-13,Window_Polish,31,1848,4,Medium,Completed,96.02465527991747,Depot_A,Morning,Window Polish performed on CR101
CR101,2024-05-14,Floor_Deep_Clean,105,1437,4,Medium,In_Progress,93.56726114432344,Depot_A,Evening,Floor Deep Clean performed on CR101
CR101,2024-05-14,LED_Light_Clean,55,1053,5,Medium,Completed,90.94386884180655,Depot_A,Night,LED Light Clean performed on CR101
CR101,2024-05-15,Seat_Sanitization,112,1637,2,Medium,Completed,89.48749504248592,Depot_B,Morning,Seat Sanitization performed on CR101
CR101,2024-05-15,LED_Light_Clean,55,1024,2,Low,In_Progress,89.94125302012917,Depot_A,Morning,LED Light Clean performed on CR101
CR101,2024-05-16,Driver_Cabin_Detail,44,613,5,Medium,In_Progress,96.6904752432857,Depot_B,Evening,Driver Cabin Detail performed on CR101
CR101,2024-05-16,Interior_Deep_Clean,165,1325,5,High,In_Progress,87.91155970929395,Depot_B,Morning,Interior Deep Clean performed on CR101
CR101,2024-05-16,Disinfection_Spray,28,1967,5,Low,In_Progress,97.35150671809254,Depot_B,Morning,Disinfection Spray performed on CR101
CR101,2024-05-17,Seat_Sanitization,113,1149,2,High,Completed,97.4119328927118,Depot_B,Night,Seat Sanitization performed on CR101
CR101,2024-05-17,Floor_Deep_Clean,68,916,4,High,Scheduled,94.54280035012293,Depot_B,Evening,Floor Deep Clean performed on CR101
CR101,2024-05-17,Exterior_Wash,68,1928,4,High,Completed,89.38796579618722,Depot_A,Morning,Exterior Wash performed on CR101
CR101,2024-05-18,Window_Polish,32,1600,5,Low,In_Progress,87.03474363936422,Depot_A,Morning,Window Polish performed on CR101
CR101,2024-05-18,HVAC_Filter,81,1049,5,High,Scheduled,94.65508104735038,Depot_B,Evening,HVAC Filter performed on CR101
CR101,2024-05-18,Graffiti_Removal,59,1154,4,Medium,In_Progress,91.46556047080298,Depot_B,Evening,Graffiti Removal performed on CR101
CR101,2024-05-20,Driver_Cabin_Detail,41,795,4,Low,In_Progress,96.36882016288624,Depot_B,Night,Driver Cabin Detail performed on CR101
CR101,2024-05-20,LED_Light_Clean,50,661,4,High,Completed,97.91154175522095,Depot_B,Evening,LED Light Clean performed on CR101
CR101,2024-05-20,Seat_Sanitization,118,1212,3,Medium,Completed,90.13620885525441,Terminal_Station,Morning,Seat Sanitization performed on CR101
CR101,2024-05-21,Interior_Deep_Clean,156,1708,3,Low,Scheduled,91.1941681131973,Depot_A,Evening,Interior Deep Clean performed on CR101
CR101,2024-05-21,Graffiti_Removal,81,1823,2,High,In_Progress,92.59106510113351,Depot_B,Morning,Graffiti Removal performed on CR101
