Train_ID,Date,Bogie_Usage_Pct,BrakePad_Usage_Pct,HVAC_Usage_Pct,Motor_Usage_Pct,Average_Usage_Pct,Critical_Components,Priority,Recommendation,Balancing_Score,Age_Factor,Maintenance_Due,Notes
CR101,2024-03-04,34.7,32.1,29.0,21.9,29.4,,Low,Continue_Operation,70.6,0.17,False,Week 46 snapshot - 0 critical components
CR101,2024-02-26,13.8,18.8,19.9,36.7,22.3,,Low,Continue_Operation,77.7,0.15,False,Week 47 snapshot - 0 critical components
CR101,2024-02-19,23.8,25.1,10.8,34.4,23.5,,Low,Continue_Operation,76.5,0.13,False,Week 48 snapshot - 0 critical components
CR101,2024-02-12,23.4,32.4,10.6,24.1,22.7,,Low,Continue_Operation,77.3,0.12,False,Week 49 snapshot - 0 critical components
CR101,2024-02-05,19.2,26.0,23.1,34.5,25.7,,Low,Continue_Operation,74.3,0.1,False,Week 50 snapshot - 0 critical components
CR101,2024-01-29,16.8,30.2,27.5,16.7,22.8,,Low,Continue_Operation,77.2,0.08,False,Week 51 snapshot - 0 critical components
CR101,2024-01-22,16.8,18.7,24.4,17.3,19.3,,Low,Continue_Operation,80.7,0.06,False,Week 52 snapshot - 0 critical components
CR102,2025-01-20,36.7,33.1,25.9,38.8,33.6,,Low,Continue_Operation,66.4,1.05,False,Week 0 snapshot - 0 critical components
CR102,2025-01-13,35.6,33.6,45.4,44.8,39.8,,Low,Continue_Operation,60.2,1.04,False,Week 1 snapshot - 0 critical components
CR102,2025-01-06,38.4,38.7,29.7,47.3,38.5,,Low,Continue_Operation,61.5,1.02,False,Week 2 snapshot - 0 critical components
CR102,2024-12-30,49.9,40.5,29.7,37.2,39.3,,Low,Continue_Operation,60.7,1.0,False,Week 3 snapshot - 0 critical components
CR102,2024-12-23,43.9,29.0,28.6,32.3,33.4,,Low,Continue_Operation,66.6,0.98,False,Week 4 snapshot - 0 critical components
CR102,2024-12-16,47.7,34.7,37.2,29.8,37.3,,Low,Continue_Operation,62.7,0.96,False,Week 5 snapshot - 0 critical components
CR102,2024-12-09,30.5,29.1,40.9,52.9,38.3,,Low,Continue_Operation,61.7,0.94,False,Week 6 snapshot - 0 critical components
CR102,2024-12-02,36.3,35.4,32.9,31.8,34.1,,Low,Continue_Operation,65.9,0.92,False,Week 7 snapshot - 0 critical components
CR102,2024-11-25,42.0,41.0,29.8,34.6,36.8,,Low,Continue_Operation,63.2,0.9,False,Week 8 snapshot - 0 critical components
CR102,2024-11-18,41.8,40.5,23.4,29.9,33.9,,Low,Continue_Operation,66.1,0.88,False,Week 9 snapshot - 0 critical components
CR102,2024-11-11,33.6,29.4,41.1,42.0,36.5,,Low,Continue_Operation,63.5,0.86,False,Week 10 snapshot - 0 critical components
CR102,2024-11-04,40.0,42.5,32.8,42.6,39.5,,Low,Continue_Operation,60.5,0.84,False,Week 11 snapshot - 0 critical components
CR102,2024-10-28,23.3,42.3,32.0,50.3,37.0,,Low,Continue_Operation,63.0,0.82,False,Week 12 snapshot - 0 critical components
CR102,2024-10-21,41.6,24.9,23.0,29.6,29.8,,Low,Continue_Operation,70.2,0.81,False,Week 13 snapshot - 0 critical components
CR102,2024-10-14,38.6,43.6,24.9,34.6,35.4,,Low,Continue_Operation,64.6,0.79,False,Week 14 snapshot - 0 critical components
CR102,2024-10-07,40.1,36.7,29.2,34.5,35.1,,Low,Continue_Operation,64.9,0.77,False,Week 15 snapshot - 0 critical components
CR102,2024-09-30,44.0,33.2,34.0,45.1,39.1,,Low,Continue_Operation,60.9,0.75,False,Week 16 snapshot - 0 critical components
CR102,2024-09-23,29.0,38.4,33.7,28.2,32.3,,Low,Continue_Operation,67.7,0.73,False,Week 17 snapshot - 0 critical components
CR102,2024-09-16,30.5,28.3,17.1,39.3,28.8,,Low,Continue_Operation,71.2,0.71,False,Week 18 snapshot - 0 critical components
CR102,2024-09-09,37.9,26.5,35.8,42.0,35.6,,Low,Continue_Operation,64.4,0.69,False,Week 19 snapshot - 0 critical components
CR102,2024-09-02,32.1,23.9,21.8,45.5,30.8,,Low,Continue_Operation,69.2,0.67,False,Week 20 snapshot - 0 critical components
CR102,2024-08-26,31.9,33.4,34.4,49.1,37.2,,Low,Continue_Operation,62.8,0.65,False,Week 21 snapshot - 0 critical components
CR102,2024-08-19,24.1,24.7,31.2,29.7,27.4,,Low,Continue_Operation,72.6,0.63,False,Week 22 snapshot - 0 critical components
CR102,2024-08-12,29.0,27.0,22.5,30.7,27.3,,Low,Continue_Operation,72.7,0.61,False,Week 23 snapshot - 0 critical components
CR102,2024-08-05,41.4,21.8,19.4,35.6,29.5,,Low,Continue_Operation,70.5,0.59,False,Week 24 snapshot - 0 critical components
CR102,2024-07-29,18.8,27.7,23.7,28.5,24.7,,Low,Continue_Operation,75.3,0.58,False,Week 25 snapshot - 0 critical components
CR102,2024-07-22,20.8,35.2,21.6,36.0,28.4,,Low,Continue_Operation,71.6,0.56,False,Week 26 snapshot - 0 critical components
CR102,2024-07-15,29.3,28.8,30.2,35.8,31.0,,Low,Continue_Operation,69.0,0.54,False,Week 27 snapshot - 0 critical components
CR102,2024-07-08,37.6,31.1,21.1,37.5,31.8,,Low,Continue_Operation,68.2,0.52,False,Week 28 snapshot - 0 critical components
CR102,2024-07-01,30.6,25.1,36.8,29.8,30.6,,Low,Continue_Operation,69.4,0.5,False,Week 29 snapshot - 0 critical components
CR102,2024-06-24,41.0,20.4,23.4,43.0,31.9,,Low,Continue_Operation,68.1,0.48,False,Week 30 snapshot - 0 critical components
CR102,2024-06-17,23.1,24.9,17.8,38.2,26.0,,Low,Continue_Operation,74.0,0.46,False,Week 31 snapshot - 0 critical components
CR102,2024-06-10,25.0,33.4,24.9,33.4,29.2,,Low,Continue_Operation,70.8,0.44,False,Week 32 snapshot - 0 critical components
CR102,2024-06-03,35.2,24.2,17.4,21.8,24.6,,Low,Continue_Operation,75.4,0.42,False,Week 33 snapshot - 0 critical components
CR102,2024-05-27,27.2,34.8,30.6,37.7,32.6,,Low,Continue_Operation,67.4,0.4,False,Week 34 snapshot - 0 critical components
CR102,2024-05-20,33.0,19.2,19.9,44.1,29.1,,Low,Continue_Operation,70.9,0.38,False,Week 35 snapshot - 0 critical components
CR102,2024-05-13,39.2,33.7,34.5,36.2,35.9,,Low,Continue_Operation,64.1,0.36,False,Week 36 snapshot - 0 critical components
CR102,2024-05-06,31.6,24.3,17.6,23.4,24.2,,Low,Continue_Operation,75.8,0.35,False,Week 37 snapshot - 0 critical components
CR102,2024-04-29,26.0,34.0,10.5,21.9,23.1,,Low,Continue_Operation,76.9,0.33,False,Week 38 snapshot - 0 critical components
CR102,2024-04-22,33.4,34.2,27.8,23.8,29.8,,Low,Continue_Operation,70.2,0.31,False,Week 39 snapshot - 0 critical components
CR102,2024-04-15,38.9,33.2,14.3,23.9,27.6,,Low,Continue_Operation,72.4,0.29,False,Week 40 snapshot - 0 critical components
CR102,2024-04-08,29.1,33.7,29.8,42.7,33.8,,Low,Continue_Operation,66.2,0.27,False,Week 41 snapshot - 0 critical components
CR102,2024-04-01,14.2,21.7,32.0,31.0,24.7,,Low,Continue_Operation,75.3,0.25,False,Week 42 snapshot - 0 critical components
CR102,2024-03-25,23.5,21.1,30.4,28.0,25.8,,Low,Continue_Operation,74.2,0.23,False,Week 43 snapshot - 0 critical components
CR102,2024-03-18,28.0,18.3,12.4,34.8,23.4,,Low,Continue_Operation,76.6,0.21,False,Week 44 snapshot - 0 critical components
CR102,2024-03-11,34.9,32.8,23.4,36.6,31.9,,Low,Continue_Operation,68.1,0.19,False,Week 45 snapshot - 0 critical components
CR102,2024-03-04,37.5,22.4,27.6,42.6,32.5,,Low,Continue_Operation,67.5,0.17,False,Week 46 snapshot - 0 critical components
CR102,2024-02-26,34.6,19.8,20.6,25.8,25.2,,Low,Continue_Operation,74.8,0.15,False,Week 47 snapshot - 0 critical components
CR102,2024-02-19,24.7,27.5,21.7,29.4,25.8,,Low,Continue_Operation,74.2,0.13,False,Week 48 snapshot - 0 critical components
CR102,2024-02-12,18.0,19.1,9.8,32.2,19.8,,Low,Continue_Operation,80.2,0.12,False,Week 49 snapshot - 0 critical components
CR102,2024-02-05,12.9,27.1,12.6,25.1,19.4,,Low,Continue_Operation,80.6,0.1,False,Week 50 snapshot - 0 critical components
CR102,2024-01-29,23.7,31.9,11.6,19.5,21.7,,Low,Continue_Operation,78.3,0.08,False,Week 51 snapshot - 0 critical components
CR102,2024-01-22,29.4,22.1,15.3,16.7,20.9,,Low,Continue_Operation,79.1,0.06,False,Week 52 snapshot - 0 critical components
CR103,2025-01-20,33.8,35.8,40.2,51.0,40.2,,Medium,Monitor_Closely,59.8,1.05,False,Week 0 snapshot - 0 critical components
CR103,2025-01-13,41.9,38.9,30.7,40.4,37.9,,Low,Continue_Operation,62.1,1.04,False,Week 1 snapshot - 0 critical components
CR103,2025-01-06,35.9,39.9,24.1,50.9,37.7,,Low,Continue_Operation,62.3,1.02,False,Week 2 snapshot - 0 critical components
CR103,2024-12-30,30.9,46.4,30.7,46.5,38.6,,Low,Continue_Operation,61.4,1.0,False,Week 3 snapshot - 0 critical components
CR103,2024-12-23,48.0,35.4,36.9,43.4,40.9,,Medium,Monitor_Closely,59.1,0.98,False,Week 4 snapshot - 0 critical components
CR103,2024-12-16,27.2,46.2,29.8,29.4,33.2,,Low,Continue_Operation,66.8,0.96,False,Week 5 snapshot - 0 critical components
CR103,2024-12-09,39.3,44.2,33.3,44.7,40.4,,Medium,Monitor_Closely,59.6,0.94,False,Week 6 snapshot - 0 critical components
CR103,2024-12-02,42.3,40.4,43.5,34.4,40.1,,Medium,Monitor_Closely,59.9,0.92,False,Week 7 snapshot - 0 critical components
CR103,2024-11-25,47.1,38.4,21.3,28.7,33.9,,Low,Continue_Operation,66.1,0.9,False,Week 8 snapshot - 0 critical components
CR103,2024-11-18,41.3,31.0,28.3,29.7,32.6,,Low,Continue_Operation,67.4,0.88,False,Week 9 snapshot - 0 critical components
CR103,2024-11-11,44.8,29.0,35.4,44.3,38.4,,Low,Continue_Operation,61.6,0.86,False,Week 10 snapshot - 0 critical components
CR103,2024-11-04,44.1,41.4,22.7,32.3,35.2,,Low,Continue_Operation,64.8,0.84,False,Week 11 snapshot - 0 critical components
CR103,2024-10-28,23.4,39.9,19.9,52.3,33.9,,Low,Continue_Operation,66.1,0.82,False,Week 12 snapshot - 0 critical components
CR103,2024-10-21,40.9,33.5,32.9,35.9,35.8,,Low,Continue_Operation,64.2,0.81,False,Week 13 snapshot - 0 critical components
CR103,2024-10-14,33.0,37.2,32.1,30.6,33.2,,Low,Continue_Operation,66.8,0.79,False,Week 14 snapshot - 0 critical components
CR103,2024-10-07,31.8,34.4,23.2,47.8,34.3,,Low,Continue_Operation,65.7,0.77,False,Week 15 snapshot - 0 critical components
CR103,2024-09-30,25.6,33.8,25.7,29.5,28.6,,Low,Continue_Operation,71.4,0.75,False,Week 16 snapshot - 0 critical components
CR103,2024-09-23,21.3,38.0,21.5,46.9,31.9,,Low,Continue_Operation,68.1,0.73,False,Week 17 snapshot - 0 critical components
CR103,2024-09-16,23.2,40.5,20.1,46.3,32.5,,Low,Continue_Operation,67.5,0.71,False,Week 18 snapshot - 0 critical components
CR103,2024-09-09,29.2,36.9,18.3,50.3,33.7,,Low,Continue_Operation,66.3,0.69,False,Week 19 snapshot - 0 critical components
CR103,2024-09-02,24.3,24.9,20.1,40.7,27.5,,Low,Continue_Operation,72.5,0.67,False,Week 20 snapshot - 0 critical components
CR103,2024-08-26,24.8,24.4,37.6,36.8,30.9,,Low,Continue_Operation,69.1,0.65,False,Week 21 snapshot - 0 critical components
CR103,2024-08-19,27.8,30.4,23.4,46.8,32.1,,Low,Continue_Operation,67.9,0.63,False,Week 22 snapshot - 0 critical components
CR103,2024-08-12,31.9,29.9,20.4,28.4,27.6,,Low,Continue_Operation,72.4,0.61,False,Week 23 snapshot - 0 critical components
CR103,2024-08-05,41.0,25.8,33.7,43.5,36.0,,Low,Continue_Operation,64.0,0.59,False,Week 24 snapshot - 0 critical components
CR103,2024-07-29,26.2,35.9,28.9,38.9,32.5,,Low,Continue_Operation,67.5,0.58,False,Week 25 snapshot - 0 critical components
CR103,2024-07-22,35.9,30.1,34.8,44.4,36.3,,Low,Continue_Operation,63.7,0.56,False,Week 26 snapshot - 0 critical components
CR103,2024-07-15,38.8,27.3,29.7,40.6,34.1,,Low,Continue_Operation,65.9,0.54,False,Week 27 snapshot - 0 critical components
CR103,2024-07-08,26.2,36.1,20.4,34.4,29.2,,Low,Continue_Operation,70.8,0.52,False,Week 28 snapshot - 0 critical components
CR103,2024-07-01,38.2,37.1,31.1,36.0,35.6,,Low,Continue_Operation,64.4,0.5,False,Week 29 snapshot - 0 critical components
CR103,2024-06-24,37.9,27.1,21.2,33.7,30.0,,Low,Continue_Operation,70.0,0.48,False,Week 30 snapshot - 0 critical components
CR103,2024-06-17,36.4,20.0,17.3,43.3,29.3,,Low,Continue_Operation,70.7,0.46,False,Week 31 snapshot - 0 critical components
CR103,2024-06-10,23.4,30.1,34.8,37.6,31.5,,Low,Continue_Operation,68.5,0.44,False,Week 32 snapshot - 0 critical components
CR103,2024-06-03,35.6,30.0,16.0,42.3,31.0,,Low,Continue_Operation,69.0,0.42,False,Week 33 snapshot - 0 critical components
CR103,2024-05-27,19.2,36.0,28.2,37.5,30.2,,Low,Continue_Operation,69.8,0.4,False,Week 34 snapshot - 0 critical components
CR103,2024-05-20,30.7,32.4,14.6,33.4,27.8,,Low,Continue_Operation,72.2,0.38,False,Week 35 snapshot - 0 critical components
CR103,2024-05-13,30.8,19.4,16.5,23.4,22.5,,Low,Continue_Operation,77.5,0.36,False,Week 36 snapshot - 0 critical components
CR103,2024-05-06,34.3,36.3,29.2,33.8,33.4,,Low,Continue_Operation,66.6,0.35,False,Week 37 snapshot - 0 critical components
CR103,2024-04-29,36.8,20.4,12.0,26.8,24.0,,Low,Continue_Operation,76.0,0.33,False,Week 38 snapshot - 0 critical components
CR103,2024-04-22,26.9,30.0,20.7,23.7,25.3,,Low,Continue_Operation,74.7,0.31,False,Week 39 snapshot - 0 critical components
CR103,2024-04-15,33.4,36.0,28.6,37.8,33.9,,Low,Continue_Operation,66.1,0.29,False,Week 40 snapshot - 0 critical components
CR103,2024-04-08,15.7,32.9,22.3,34.8,26.4,,Low,Continue_Operation,73.6,0.27,False,Week 41 snapshot - 0 critical components
CR103,2024-04-01,29.1,26.7,21.1,39.3,29.1,,Low,Continue_Operation,70.9,0.25,False,Week 42 snapshot - 0 critical components
CR103,2024-03-25,29.1,24.0,11.0,40.4,26.1,,Low,Continue_Operation,73.9,0.23,False,Week 43 snapshot - 0 critical components
CR103,2024-03-18,23.6,31.5,31.1,39.8,31.5,,Low,Continue_Operation,68.5,0.21,False,Week 44 snapshot - 0 critical components
CR103,2024-03-11,14.5,30.0,11.4,35.3,22.8,,Low,Continue_Operation,77.2,0.19,False,Week 45 snapshot - 0 critical components
CR103,2024-03-04,33.2,26.0,21.1,31.1,27.8,,Low,Continue_Operation,72.2,0.17,False,Week 46 snapshot - 0 critical components
CR103,2024-02-26,17.9,26.8,25.4,41.2,27.8,,Low,Continue_Operation,72.2,0.15,False,Week 47 snapshot - 0 critical components
CR103,2024-02-19,17.0,24.9,20.8,36.2,24.7,,Low,Continue_Operation,75.3,0.13,False,Week 48 snapshot - 0 critical components
CR103,2024-02-12,30.8,18.2,8.0,37.0,23.5,,Low,Continue_Operation,76.5,0.12,False,Week 49 snapshot - 0 critical components
CR103,2024-02-05,31.1,26.1,15.5,16.6,22.3,,Low,Continue_Operation,77.7,0.1,False,Week 50 snapshot - 0 critical components
CR103,2024-01-29,21.8,25.0,23.0,29.4,24.8,,Low,Continue_Operation,75.2,0.08,False,Week 51 snapshot - 0 critical components
CR103,2024-01-22,28.7,21.1,7.2,20.5,19.4,,Low,Continue_Operation,80.6,0.06,False,Week 52 snapshot - 0 critical components
CR104,2025-01-20,30.9,34.5,43.3,45.0,38.4,,Low,Continue_Operation,61.6,1.05,False,Week 0 snapshot - 0 critical components
CR104,2025-01-13,41.8,45.3,32.6,43.1,40.7,,Medium,Monitor_Closely,59.3,1.04,False,Week 1 snapshot - 0 critical components
CR104,2025-01-06,30.8,28.5,23.4,35.0,29.4,,Low,Continue_Operation,70.6,1.02,False,Week 2 snapshot - 0 critical components
CR104,2024-12-30,43.5,28.4,35.0,30.5,34.4,,Low,Continue_Operation,65.6,1.0,False,Week 3 snapshot - 0 critical components
CR104,2024-12-23,43.2,39.9,37.9,46.2,41.8,,Medium,Monitor_Closely,58.2,0.98,False,Week 4 snapshot - 0 critical components
CR104,2024-12-16,48.5,44.4,32.1,46.4,42.9,,Medium,Monitor_Closely,57.1,0.96,False,Week 5 snapshot - 0 critical components
CR104,2024-12-09,30.6,39.4,27.5,33.6,32.8,,Low,Continue_Operation,67.2,0.94,False,Week 6 snapshot - 0 critical components
CR104,2024-12-02,42.1,29.3,43.8,51.5,41.7,,Medium,Monitor_Closely,58.3,0.92,False,Week 7 snapshot - 0 critical components
CR104,2024-11-25,26.1,44.5,23.3,50.9,36.2,,Low,Continue_Operation,63.8,0.9,False,Week 8 snapshot - 0 critical components
CR104,2024-11-18,32.5,39.2,43.1,41.4,39.0,,Low,Continue_Operation,61.0,0.88,False,Week 9 snapshot - 0 critical components
CR104,2024-11-11,24.9,36.6,18.7,47.8,32.0,,Low,Continue_Operation,68.0,0.86,False,Week 10 snapshot - 0 critical components
CR104,2024-11-04,47.2,27.4,33.5,39.7,36.9,,Low,Continue_Operation,63.1,0.84,False,Week 11 snapshot - 0 critical components
CR104,2024-10-28,35.9,32.1,22.0,49.0,34.8,,Low,Continue_Operation,65.2,0.82,False,Week 12 snapshot - 0 critical components
CR104,2024-10-21,44.5,42.0,18.7,29.6,33.7,,Low,Continue_Operation,66.3,0.81,False,Week 13 snapshot - 0 critical components
CR104,2024-10-14,30.5,40.0,36.5,42.3,37.3,,Low,Continue_Operation,62.7,0.79,False,Week 14 snapshot - 0 critical components
CR104,2024-10-07,33.6,42.1,23.5,39.6,34.7,,Low,Continue_Operation,65.3,0.77,False,Week 15 snapshot - 0 critical components
CR104,2024-09-30,24.1,42.5,21.9,30.4,29.7,,Low,Continue_Operation,70.3,0.75,False,Week 16 snapshot - 0 critical components
CR104,2024-09-23,29.3,37.5,16.7,32.4,29.0,,Low,Continue_Operation,71.0,0.73,False,Week 17 snapshot - 0 critical components
CR104,2024-09-16,27.8,33.4,39.0,34.9,33.8,,Low,Continue_Operation,66.2,0.71,False,Week 18 snapshot - 0 critical components
CR104,2024-09-09,36.1,25.7,34.2,43.8,34.9,,Low,Continue_Operation,65.1,0.69,False,Week 19 snapshot - 0 critical components
CR104,2024-09-02,21.1,35.6,22.2,39.4,29.6,,Low,Continue_Operation,70.4,0.67,False,Week 20 snapshot - 0 critical components
CR104,2024-08-26,30.5,39.6,19.4,32.0,30.4,,Low,Continue_Operation,69.6,0.65,False,Week 21 snapshot - 0 critical components
CR104,2024-08-19,31.2,31.1,38.7,40.3,35.3,,Low,Continue_Operation,64.7,0.63,False,Week 22 snapshot - 0 critical components
CR104,2024-08-12,29.7,25.4,36.9,45.3,34.3,,Low,Continue_Operation,65.7,0.61,False,Week 23 snapshot - 0 critical components
CR104,2024-08-05,37.5,27.1,25.2,39.2,32.2,,Low,Continue_Operation,67.8,0.59,False,Week 24 snapshot - 0 critical components
CR104,2024-07-29,43.0,34.6,35.5,47.5,40.2,,Medium,Monitor_Closely,59.8,0.58,False,Week 25 snapshot - 0 critical components
CR104,2024-07-22,30.6,29.0,23.6,46.8,32.5,,Low,Continue_Operation,67.5,0.56,False,Week 26 snapshot - 0 critical components
CR104,2024-07-15,38.1,32.7,17.2,32.3,30.1,,Low,Continue_Operation,69.9,0.54,False,Week 27 snapshot - 0 critical components
CR104,2024-07-08,20.5,24.2,36.2,38.8,29.9,,Low,Continue_Operation,70.1,0.52,False,Week 28 snapshot - 0 critical components
CR104,2024-07-01,31.2,38.5,20.4,38.7,32.2,,Low,Continue_Operation,67.8,0.5,False,Week 29 snapshot - 0 critical components
CR104,2024-06-24,25.9,20.8,26.6,41.4,28.7,,Low,Continue_Operation,71.3,0.48,False,Week 30 snapshot - 0 critical components
CR104,2024-06-17,36.0,38.1,35.3,32.7,35.5,,Low,Continue_Operation,64.5,0.46,False,Week 31 snapshot - 0 critical components
CR104,2024-06-10,37.4,25.0,30.7,44.8,34.5,,Low,Continue_Operation,65.5,0.44,False,Week 32 snapshot - 0 critical components
CR104,2024-06-03,29.3,36.0,26.4,35.7,31.8,,Low,Continue_Operation,68.2,0.42,False,Week 33 snapshot - 0 critical components
CR104,2024-05-27,37.4,18.4,17.2,30.5,25.9,,Low,Continue_Operation,74.1,0.4,False,Week 34 snapshot - 0 critical components
CR104,2024-05-20,26.1,20.7,33.9,27.0,26.9,,Low,Continue_Operation,73.1,0.38,False,Week 35 snapshot - 0 critical components
CR104,2024-05-13,28.5,18.9,13.8,37.0,24.6,,Low,Continue_Operation,75.4,0.36,False,Week 36 snapshot - 0 critical components
