Work_Order_ID,Job_Number,Train_ID,Work_Type,Description,Priority,Status,Created_Date,Due_Date,Estimated_Hours,Actual_Hours,Assigned_Technician,Department,Cost_Estimate,Parts_Cost,Urgency_Score,Completion_Rate,Notes
WO-564DE9EE,JOB-20240116-2596,CR108,PM-Bogie,Bogie bearing inspection and lubrication - CR108,High,Closed,2024-01-16,2024-01-22,10,12.7,Tech_17,Mechanical,760,952,90,100.0,Generated on 2024-01-16 - PM-Bogie maintenance
WO-0CAEA2D3,JOB-20240117-4840,CR114,Compliance-Check,Compliance Check for CR114,Medium,On_Hold,2024-01-17,2024-02-07,3,,Tech_9,Quality_Assurance,585,539,70,12.466245737623085,Generated on 2024-01-17 - Compliance-Check maintenance
WO-E9760B19,JOB-20240117-5549,CR104,CM-Electrical,Power supply issue resolution - CR104,Low,On_Hold,2024-01-17,2024-02-21,9,,Tech_10,Electrical,1134,2588,50,17.32274341434399,Generated on 2024-01-17 - CM-Electrical maintenance
WO-BB326400,JOB-20240117-1628,CR104,Inspection-B,Inspection B for CR104,Low,On_Hold,2024-01-17,2024-02-03,13,,Tech_1,Maintenance,1482,642,50,20.94602766685557,Generated on 2024-01-17 - Inspection-B maintenance
WO-9B83DBF6,JOB-20240117-1285,CR102,Compliance-Check,Compliance Check for CR102,Medium,On_Hold,2024-01-17,2024-01-26,3,,Tech_21,Quality_Assurance,306,239,70,13.348594173453952,Generated on 2024-01-17 - Compliance-Check maintenance
WO-C8541724,JOB-20240118-9169,CR124,CM-Software,CM Software for CR124,Low,On_Hold,2024-01-18,2024-02-19,5,,Tech_17,IT,685,1090,50,11.193085964014553,Generated on 2024-01-18 - CM-Software maintenance
WO-71439BC2,JOB-20240118-1870,CR113,PM-Bogie,Scheduled bogie maintenance for CR113,Low,On_Hold,2024-01-18,2024-03-02,7,,Tech_6,Mechanical,826,302,50,15.131489922615938,Generated on 2024-01-18 - PM-Bogie maintenance
WO-D30472C5,JOB-20240119-4158,CR106,CM-Electrical,Power supply issue resolution - CR106,Medium,On_Hold,2024-01-19,2024-01-27,3,,Tech_25,Electrical,429,2236,70,16.91454196699521,Generated on 2024-01-19 - CM-Electrical maintenance
WO-DD6F07A7,JOB-20240119-6780,CR116,Inspection-C,Inspection C for CR116,Medium,On_Hold,2024-01-19,2024-02-08,24,,Tech_30,Maintenance,2856,974,70,16.236314224276313,Generated on 2024-01-19 - Inspection-C maintenance
WO-97023866,JOB-20240119-3884,CR113,PM-Brake,Brake system preventive maintenance - CR113,Medium,On_Hold,2024-01-19,2024-01-30,4,,Tech_15,Mechanical,676,955,70,29.857585856538858,Generated on 2024-01-19 - PM-Brake maintenance
WO-1895ABA6,JOB-20240120-3377,CR115,PM-Doors,PM Doors for CR115,Medium,On_Hold,2024-01-20,2024-01-28,4,,Tech_26,Mechanical,424,292,70,15.290129461860214,Generated on 2024-01-20 - PM-Doors maintenance
WO-C111A8F6,JOB-20240120-4486,CR109,Compliance-Check,Compliance Check for CR109,Low,Cancelled,2024-01-20,2024-03-05,3,,Tech_17,Quality_Assurance,348,345,50,0.0,Generated on 2024-01-20 - Compliance-Check maintenance
WO-80873B62,JOB-20240120-7447,CR107,Inspection-B,Inspection B for CR107,Low,On_Hold,2024-01-20,2024-02-12,11,,Tech_12,Maintenance,935,280,50,13.186066852567658,Generated on 2024-01-20 - Inspection-B maintenance
WO-9CFFE1A0,JOB-20240121-4972,CR101,CM-Software,CM Software for CR101,Low,Cancelled,2024-01-21,2024-02-12,5,,Tech_11,IT,780,1526,50,0.0,Generated on 2024-01-21 - CM-Software maintenance
WO-13022FF2,JOB-20240122-5058,CR112,PM-Traction,PM Traction for CR112,Low,On_Hold,2024-01-22,2024-02-28,11,,Tech_26,Electrical,1837,401,50,12.233829340698389,Generated on 2024-01-22 - PM-Traction maintenance
WO-0E075023,JOB-20240122-2390,CR105,PM-Doors,PM Doors for CR105,Low,On_Hold,2024-01-22,2024-02-20,3,,Tech_24,Mechanical,435,115,50,14.618616938274736,Generated on 2024-01-22 - PM-Doors maintenance
WO-2EA165A2,JOB-20240123-1646,CR101,PM-Brake,Brake pad inspection and replacement - CR101,Medium,On_Hold,2024-01-23,2024-02-09,6,,Tech_16,Mechanical,528,361,70,22.8939807100766,Generated on 2024-01-23 - PM-Brake maintenance
WO-D248B32A,JOB-20240123-6538,CR103,PM-Bogie,Scheduled bogie maintenance for CR103,Medium,Closed,2024-01-23,2024-02-08,8,8.6,Tech_11,Mechanical,1456,235,70,100.0,Generated on 2024-01-23 - PM-Bogie maintenance
WO-56C467E7,JOB-20240123-9487,CR123,Inspection-B,Inspection B for CR123,Low,Closed,2024-01-23,2024-02-12,14,16.7,Tech_26,Maintenance,1680,905,50,100.0,Generated on 2024-01-23 - Inspection-B maintenance
WO-F2F55AF0,JOB-20240123-3941,CR123,PM-HVAC,PM HVAC for CR123,High,Closed,2024-01-23,2024-01-26,8,9.5,Tech_19,Electrical,792,377,90,100.0,Generated on 2024-01-23 - PM-HVAC maintenance
WO-09794432,JOB-20240123-7776,CR122,Inspection-B,Inspection B for CR122,Medium,On_Hold,2024-01-23,2024-02-13,19,,Tech_4,Maintenance,3135,564,70,14.624129815135063,Generated on 2024-01-23 - Inspection-B maintenance
WO-6B5041C9,JOB-20240123-9898,CR120,PM-Brake,Brake system preventive maintenance - CR120,Low,On_Hold,2024-01-23,2024-02-29,6,,Tech_4,Mechanical,1146,212,50,11.81937866801582,Generated on 2024-01-23 - PM-Brake maintenance
WO-5A1491D5,JOB-20240124-6397,CR103,CM-Electrical,Electrical system corrective maintenance - CR103,Medium,Closed,2024-01-24,2024-02-13,19,22.6,Tech_1,Electrical,1577,4467,70,100.0,Generated on 2024-01-24 - CM-Electrical maintenance
WO-BD6B24FD,JOB-20240124-8326,CR103,CM-Electrical,Power supply issue resolution - CR103,Medium,On_Hold,2024-01-24,2024-02-02,6,,Tech_18,Electrical,978,2397,70,19.009830938726715,Generated on 2024-01-24 - CM-Electrical maintenance
WO-510C6549,JOB-20240124-5164,CR118,Inspection-A,Inspection A for CR118,Medium,Closed,2024-01-24,2024-02-10,7,6.4,Tech_18,Maintenance,1246,201,70,100.0,Generated on 2024-01-24 - Inspection-A maintenance
WO-0EAF1D6B,JOB-20240124-5211,CR102,CM-Electrical,Electrical system corrective maintenance - CR102,High,Closed,2024-01-24,2024-01-28,6,5.6,Tech_19,Electrical,1080,2729,90,100.0,Generated on 2024-01-24 - CM-Electrical maintenance
WO-D80752F2,JOB-20240124-9916,CR107,CM-Electrical,Electrical system corrective maintenance - CR107,Low,Cancelled,2024-01-24,2024-02-21,14,,Tech_11,Electrical,2744,4897,50,0.0,Generated on 2024-01-24 - CM-Electrical maintenance
WO-0EE8E51A,JOB-20240124-3438,CR118,PM-HVAC,PM HVAC for CR118,Low,On_Hold,2024-01-24,2024-03-03,4,,Tech_30,Electrical,364,710,50,13.982637870346544,Generated on 2024-01-24 - PM-HVAC maintenance
WO-C3A4B21C,JOB-20240125-8634,CR117,PM-Doors,PM Doors for CR117,Medium,Closed,2024-01-25,2024-02-10,5,6.1,Tech_20,Mechanical,945,377,70,100.0,Generated on 2024-01-25 - PM-Doors maintenance
WO-56C8B1D5,JOB-20240125-1494,CR118,PM-Bogie,Scheduled bogie maintenance for CR118,Low,Cancelled,2024-01-25,2024-02-22,7,,Tech_25,Mechanical,980,666,50,0.0,Generated on 2024-01-25 - PM-Bogie maintenance
WO-24427CC8,JOB-20240125-4628,CR112,PM-HVAC,PM HVAC for CR112,Low,Cancelled,2024-01-25,2024-02-16,6,,Tech_12,Electrical,858,861,50,0.0,Generated on 2024-01-25 - PM-HVAC maintenance
WO-7C63192D,JOB-20240125-9758,CR116,CM-Mechanical,CM Mechanical for CR116,High,Closed,2024-01-25,2024-01-29,7,8.0,Tech_9,Mechanical,1106,4390,90,100.0,Generated on 2024-01-25 - CM-Mechanical maintenance
WO-7AB755F6,JOB-20240126-7041,CR115,Emergency-Repair,Emergency repair required - CR115,High,Closed,2024-01-26,2024-01-31,5,6.2,Tech_13,Emergency_Response,440,647,90,100.0,Generated on 2024-01-26 - Emergency-Repair maintenance
WO-1B982470,JOB-20240126-9874,CR109,Seasonal-Maintenance,Seasonal Maintenance for CR109,Medium,On_Hold,2024-01-26,2024-02-15,35,,Tech_20,Maintenance,5180,238,70,27.223916088316745,Generated on 2024-01-26 - Seasonal-Maintenance maintenance
WO-55B18218,JOB-20240126-8169,CR116,Inspection-A,Inspection A for CR116,Low,Cancelled,2024-01-26,2024-03-07,7,,Tech_10,Maintenance,1176,107,50,0.0,Generated on 2024-01-26 - Inspection-A maintenance
WO-206443BE,JOB-20240126-7250,CR107,Inspection-A,Inspection A for CR107,High,Closed,2024-01-26,2024-02-01,7,6.7,Tech_12,Maintenance,784,727,90,100.0,Generated on 2024-01-26 - Inspection-A maintenance
WO-F2D6B433,JOB-20240126-8829,CR104,CM-Electrical,Power supply issue resolution - CR104,Low,Cancelled,2024-01-26,2024-02-10,17,,Tech_17,Electrical,2533,768,50,0.0,Generated on 2024-01-26 - CM-Electrical maintenance
WO-4BB00DB3,JOB-20240126-1827,CR112,PM-Bogie,Bogie bearing inspection and lubrication - CR112,Critical,Closed,2024-01-26,2024-01-28,13,11.5,Tech_15,Mechanical,1560,860,100,100.0,Generated on 2024-01-26 - PM-Bogie maintenance
WO-F56C7FE0,JOB-20240127-1420,CR123,Inspection-C,Inspection C for CR123,Low,Cancelled,2024-01-27,2024-03-04,21,,Tech_10,Maintenance,2835,440,50,0.0,Generated on 2024-01-27 - Inspection-C maintenance
WO-FE5A3D90,JOB-20240127-8200,CR107,PM-Bogie,Scheduled bogie maintenance for CR107,Low,Closed,2024-01-27,2024-03-07,10,12.7,Tech_24,Mechanical,1320,523,50,100.0,Generated on 2024-01-27 - PM-Bogie maintenance
WO-6F21C78E,JOB-20240128-2689,CR121,Inspection-A,Inspection A for CR121,Low,On_Hold,2024-01-28,2024-03-04,7,,Tech_17,Maintenance,1372,599,50,10.349169796157422,Generated on 2024-01-28 - Inspection-A maintenance
WO-EDD8FA53,JOB-20240128-4687,CR118,Inspection-A,Inspection A for CR118,Low,Cancelled,2024-01-28,2024-03-09,4,,Tech_16,Maintenance,756,963,50,0.0,Generated on 2024-01-28 - Inspection-A maintenance
WO-12B328F6,JOB-20240129-5329,CR116,PM-Brake,Brake pad inspection and replacement - CR116,Medium,Closed,2024-01-29,2024-02-17,6,5.2,Tech_18,Mechanical,564,886,70,100.0,Generated on 2024-01-29 - PM-Brake maintenance
WO-BA61A91A,JOB-20240129-6489,CR123,PM-Doors,PM Doors for CR123,Low,Closed,2024-01-29,2024-02-14,2,2.2,Tech_12,Mechanical,360,613,50,100.0,Generated on 2024-01-29 - PM-Doors maintenance
WO-581673B1,JOB-20240129-9656,CR110,CM-Mechanical,CM Mechanical for CR110,Medium,Closed,2024-01-29,2024-02-18,13,15.1,Tech_24,Mechanical,2288,4625,70,100.0,Generated on 2024-01-29 - CM-Mechanical maintenance
WO-BC33ED1B,JOB-20240130-4010,CR123,CM-Electrical,Power supply issue resolution - CR123,Medium,Closed,2024-01-30,2024-02-16,3,2.8,Tech_4,Electrical,420,2368,70,100.0,Generated on 2024-01-30 - CM-Electrical maintenance
WO-A060F937,JOB-20240130-5409,CR118,CM-Software,CM Software for CR118,Low,Closed,2024-01-30,2024-03-13,1,1.1,Tech_18,IT,184,3636,50,100.0,Generated on 2024-01-30 - CM-Software maintenance
WO-00F1B58B,JOB-20240131-9842,CR119,PM-Traction,PM Traction for CR119,High,Closed,2024-01-31,2024-02-07,16,13.7,Tech_11,Electrical,1248,415,90,100.0,Generated on 2024-01-31 - PM-Traction maintenance
WO-7308F814,JOB-20240131-8319,CR117,PM-HVAC,PM HVAC for CR117,High,Closed,2024-01-31,2024-02-05,7,5.9,Tech_15,Electrical,1001,350,90,100.0,Generated on 2024-01-31 - PM-HVAC maintenance
WO-C1681002,JOB-20240131-9893,CR106,Inspection-B,Inspection B for CR106,Medium,Closed,2024-01-31,2024-02-15,16,17.3,Tech_5,Maintenance,2064,782,70,100.0,Generated on 2024-01-31 - Inspection-B maintenance
WO-CCDDB017,JOB-20240131-7509,CR121,Inspection-B,Inspection B for CR121,Low,Closed,2024-01-31,2024-03-03,14,11.3,Tech_15,Maintenance,1428,530,50,100.0,Generated on 2024-01-31 - Inspection-B maintenance
WO-D5E26C88,JOB-20240201-7355,CR124,Emergency-Repair,Urgent maintenance intervention - CR124,Low,On_Hold,2024-02-01,2024-03-03,20,,Tech_8,Emergency_Response,2620,216,50,22.076094917891922,Generated on 2024-02-01 - Emergency-Repair maintenance
WO-4C6047E7,JOB-20240201-5859,CR122,Inspection-A,Inspection A for CR122,Medium,On_Hold,2024-02-01,2024-02-16,7,,Tech_30,Maintenance,1232,433,70,22.870391478965438,Generated on 2024-02-01 - Inspection-A maintenance
WO-8F6B45D0,JOB-20240201-6529,CR102,CM-Mechanical,CM Mechanical for CR102,Critical,Closed,2024-02-01,2024-02-02,19,21.4,Tech_4,Mechanical,1444,1638,100,100.0,Generated on 2024-02-01 - CM-Mechanical maintenance
WO-D30D514F,JOB-20240202-7607,CR107,Inspection-A,Inspection A for CR107,High,Closed,2024-02-02,2024-02-09,9,11.6,Tech_12,Maintenance,1422,676,90,100.0,Generated on 2024-02-02 - Inspection-A maintenance
WO-72924292,JOB-20240202-9246,CR120,CM-Software,CM Software for CR120,Low,Cancelled,2024-02-02,2024-03-09,2,,Tech_9,IT,150,1418,50,0.0,Generated on 2024-02-02 - CM-Software maintenance
WO-31631CBD,JOB-20240202-8569,CR115,Compliance-Check,Compliance Check for CR115,Medium,On_Hold,2024-02-02,2024-02-21,2,,Tech_26,Quality_Assurance,374,949,70,10.275192437808062,Generated on 2024-02-02 - Compliance-Check maintenance
